Week Number,Date,Site,Stadium,Attendance,Kickoff Time,End of Game,Duration,Temperature,Wind,Weather,VIEW,Scoring Play
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Gilbert,Jaden 1 yd run (Lastovka,Andrew kick), 11 plays, 69 yards, TOP 05:29"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"MER - Van Dyke,Evan 1 yd pass from Urena,Adam (Young,Max kick) 14 plays, 81 yards, TOP 08:08"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Brungard,Beau 4 yd run (Lastovka,Andrew kick), 11 plays, 47 yards, TOP 04:42"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Brungard,Beau 4 yd run (Lastovka,Andrew kick), 3 plays, 50 yards, TOP 00:47"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Lastovka,Andrew 37 yd field goal 6 plays, 13 yards, TOP 03:04"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"MER - Evans,Dylan 8 yd pass from Urena,Adam (Evans,Dylan pass) 15 plays, 84 yards, TOP 07:14"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Davison,Rylan 0 yd pass from Urena,Adam (Young,Max kick) 7 plays, 83 yards, TOP 03:22"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"UNH - Tracey,Joshua 16 yd pass from Duffy,AJ (Quigley,Liam kick) 8 plays, 76 yards, TOP 03:22"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Trobel,Brian 6 yd run ( ), 5 plays, 75 yards, TOP 02:49"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Evans,Dylan 8 yd run (Young,Max kick), 9 plays, 86 yards, TOP 04:53"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Rodriguez,Ayron 17 yd run (Young,Max kick), 8 plays, 59 yards, TOP 04:07"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Trobel,Brian 2 yd run (Young,Max kick), 9 plays, 80 yards, TOP 04:26"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Trobel,Brian 31 yd run (Young,Max kick), 4 plays, 54 yards, TOP 01:20"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Wilson,Ashton 1 yd pass from Urena,Adam (Young,Max kick) 11 plays, 78 yards, TOP 05:22"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"UNH - Duffy,AJ 1 yd run (Quigley,Liam kick), 7 plays, 75 yards, TOP 02:44"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Williams,Jordan 19 yd pass from Williams,Cardell (Meadors,Grant kick) 4 plays, 74 yards, TOP 01:33"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Young,Max 34 yd field goal 12 plays, 58 yards, TOP 04:37"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Evans,Dylan 24 yd pass from Urena,Adam (Young,Max kick) 6 plays, 39 yards, TOP 02:38"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Trobel,Brian 1 yd run (Trobel,Brian rush), 15 plays, 85 yards, TOP 07:36"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Henderson II,Damian 19 yd run (Meadors,Grant kick), 9 plays, 78 yards, TOP 03:18"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Campbell,Ernest 57 yd pass from Williams,Cardell (Meadors,Grant kick) 1 plays, 57 yards, TOP 00:09"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Adams II,Sam 15 yd run (Meadors,Grant kick), 9 plays, 80 yards, TOP 02:57"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Davison,Rylan 16 yd pass from Urena,Adam (Young,Max kick) 12 plays, 84 yards, TOP 07:03"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Henderson II,Damian 4 yd run (Meadors,Grant kick), 10 plays, 53 yards, TOP 04:25"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"MER - Young,Max 24 yd field goal 14 plays, 68 yards, TOP 06:20"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Henderson II,Damian 30 yd run (Meadors,Grant kick), 9 plays, 80 yards, TOP 05:08"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,"SAC - Williams,Cardell 24 yd run (Meadors,Grant kick), 3 plays, 43 yards, TOP 00:23"
3,09/13/2025,"Sacramento, California",Hornet Stadium,12231,06:02 PM,09:31 PM,03:28,,,Sunny,Match History vs Sacramento St.,
4,09/20/2025,"Bozeman, Montana",Bobcat Stadium,21317,01:05 PM,03:51 PM,02:46,73,NW 3mph,Sunny,Match History vs Montana St.,"MSU - Davis,Julius 3 yd run (Sansted,Myles kick), 10 plays, 92 yards, TOP 05:49"
4,09/20/2025,"Bozeman, Montana",Bobcat Stadium,21317,01:05 PM,03:51 PM,02:46,73,NW 3mph,Sunny,Match History vs Montana St.,"MSU - Sansted,Myles 22 yd field goal 18 plays, 76 yards, TOP 07:51"
4,09/20/2025,"Bozeman, Montana",Bobcat Stadium,21317,01:05 PM,03:51 PM,02:46,73,NW 3mph,Sunny,Match History vs Montana St.,"MSU - Jones,Adam 5 yd run (Sansted,Myles kick), 11 plays, 83 yards, TOP 04:35"
4,09/20/2025,"Bozeman, Montana",Bobcat Stadium,21317,01:05 PM,03:51 PM,02:46,73,NW 3mph,Sunny,Match History vs Montana St.,
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Stader,Eli 36 yd field goal 11 plays, 43 yards, TOP 04:51"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Bullock,Alex 28 yd pass from Mason,Chase (Stader,Eli kick) 7 plays, 55 yards, TOP 03:35"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - O'Groske,Lofton 19 yd pass from Mason,Chase (Stader,Eli kick) 1 plays, 19 yards, TOP 00:06"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"MER - Van Dyke,Evan 22 yd pass from Urena,Adam (Young,Max kick) 11 plays, 75 yards, TOP 05:18"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Stader,Eli 25 yd field goal 14 plays, 76 yards, TOP 08:20"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Stader,Eli 28 yd field goal 7 plays, 26 yards, TOP 01:50"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Smith,Jack 18 yd pass from Mason,Chase (Stader,Eli kick) 5 plays, 42 yards, TOP 02:39"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Basinger,James 1 yd run (Stader,Eli kick), 4 plays, 70 yards, TOP 01:07"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Begeman,Brenden 5 yd run (Stader,Eli kick), 9 plays, 61 yards, TOP 04:48"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,"SDS - Basinger,James 1 yd run (Stader,Eli kick), 14 plays, 67 yards, TOP 09:19"
5,09/27/2025,"Brookings, South Dakota",Dana J. Dykhouse Stadium,19034,02:05 PM,05:09 PM,03:04,72,S 7mph,Sunny,Match History vs South Dakota St.,
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"MER - Gamble,Jameir 2 yd run ( ), 16 plays, 80 yards, TOP 09:46"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"MER - Trobel,Brian 49 yd run ( ), 4 plays, 57 yards, TOP 01:48"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"MER - Young,Max 22 yd field goal 12 plays, 62 yards, TOP 06:39"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"LIU - Johnson,Will 22 yd field goal 4 plays, -2 yards, TOP 01:38"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"LIU - Kelley,Jaron 24 yd pass from Howell,Chris (Johnson,Will kick) 5 plays, 57 yards, TOP 02:06"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"LIU - Johnson,Will 25 yd field goal 8 plays, 69 yards, TOP 04:44"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,"MER - Van Dyke,Evan 7 yd pass from Urena,Adam (Young,Max kick) 14 plays, 75 yards, TOP 07:38"
6,10/04/2025,"Erie, Pa,",Saxon Stadium,2100,01:04 PM,04:17 PM,03:13,76,,Sunny,Match History vs LIU,
7,10/11/2025,"Staten Island, New York",Hameline Field at Wagner College Stadium,1123,12:01 PM,02:45 PM,02:44,,NE 5mph,Rain,Match History vs Wagner,"MER - Trobel,Brian 3 yd run ( ), 17 plays, 80 yards, TOP 09:14"
7,10/11/2025,"Staten Island, New York",Hameline Field at Wagner College Stadium,1123,12:01 PM,02:45 PM,02:44,,NE 5mph,Rain,Match History vs Wagner,"WAG - Cooper,Malik 23 yd pass from Barton,Jordan (Romero,Nicholas kick) 11 plays, 90 yards, TOP 06:03"
7,10/11/2025,"Staten Island, New York",Hameline Field at Wagner College Stadium,1123,12:01 PM,02:45 PM,02:44,,NE 5mph,Rain,Match History vs Wagner,"MER - Trobel,Brian 76 yd pass from Gevaudan,Alex ( ) 1 plays, 76 yards, TOP 00:14"
7,10/11/2025,"Staten Island, New York",Hameline Field at Wagner College Stadium,1123,12:01 PM,02:45 PM,02:44,,NE 5mph,Rain,Match History vs Wagner,"MER - Trobel,Brian 4 yd run (Young,Max kick), 7 plays, 46 yards, TOP 03:50"
7,10/11/2025,"Staten Island, New York",Hameline Field at Wagner College Stadium,1123,12:01 PM,02:45 PM,02:44,,NE 5mph,Rain,Match History vs Wagner,
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Isabella,Joey 20 yd pass from Riddell,Tyler (Clark,Matt kick) 10 plays, 75 yards, TOP 06:02"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Davis,Ness 59 yd run (Clark,Matt kick), 1 plays, 59 yards, TOP 00:11"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Clark,Matt 26 yd field goal 13 plays, 68 yards, TOP 07:48"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Clark,Matt 27 yd field goal 8 plays, 55 yards, TOP 03:52"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Morris,Avery 35 yd fumble recovery (Clark,Matt kick)"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Clark,Matt 31 yd field goal 11 plays, 67 yards, TOP 06:47"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,"DUQ - Hopkins,Dazhaun 16 yd run (Clark,Matt kick), 5 plays, 54 yards, TOP 02:50"
8,10/18/2025,"Erie, Pennsylvania",Saxon Stadium,2214,06:01 PM,08:40 PM,02:39,,S,Sunny,Match History vs Duquesne,
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"STO - Washington, Jr.,Torance 23 yd pass from O'Connell,Jack ( ) 7 plays, 66 yards, TOP 03:39"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"STO - Kim,Zachary 14 yd pass from O'Connell,Jack (Scalese,Domenic kick) 4 plays, 64 yards, TOP 01:36"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"STO - Scalese,Domenic 19 yd field goal 11 plays, 48 yards, TOP 06:24"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"MER - Rodriguez,Ayron 21 yd pass from Urena,Adam (Young,Max kick) 6 plays, 73 yards, TOP 03:16"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"STO - Scalese,Domenic 44 yd field goal 4 plays, 38 yards, TOP 00:28"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"STO - Scalese,Domenic 26 yd field goal 14 plays, 81 yards, TOP 09:07"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,"MER - Kerbacher,Joe 6 yd pass from Urena,Adam (Evans,Dylan pass) 10 plays, 63 yards, TOP 02:00"
9,10/25/2025,", Pennsylvania",Saxon Stadium,1257,12:01 PM,02:51 PM,02:50,45,,Cloudy,Match History vs Stonehill,
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"SFU - Plummer,Mac 28 yd field goal 5 plays, 17 yards, TOP 03:16"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"SFU - Plummer,Mac 34 yd field goal 13 plays, 64 yards, TOP 07:25"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"SFU - Plummer,Mac 26 yd field goal 9 plays, 45 yards, TOP 02:31"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"MER - Young,Max 35 yd field goal 9 plays, 53 yards, TOP 04:30"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"MER - Trobel,Brian 10 yd run (Young,Max kick), 6 plays, 86 yards, TOP 02:49"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"SFU - Plummer,Mac 20 yd field goal 16 plays, 73 yards, TOP 07:48"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"SFU - Plummer,Mac 25 yd field goal 4 plays,  yards, TOP 00:28"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,"MER - Evans,Dylan 15 yd pass from Urena,Adam ( ) 6 plays, 65 yards, TOP 00:40"
10,11/08/2025,",",DeGol Field,987,12:01 PM,03:16 PM,03:14,,S 1mph,Sunny,Match History vs Saint Francis,
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"MER - Young,Max 36 yd field goal 9 plays, 56 yards, TOP 03:59"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"MER - Young,Max 38 yd field goal 3 plays, 44 yards, TOP 00:26"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"RMU - Jenkins,Jayson 45 yd field goal 7 plays, 38 yards, TOP 02:59"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"RMU - Jenkins,Jayson 23 yd field goal 9 plays, 42 yards, TOP 03:45"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"MER - Trobel,Brian 53 yd run (Young,Max kick), 3 plays, 75 yards, TOP 01:23"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"MER - Trobel,Brian 1 yd run (Young,Max kick), 5 plays, 43 yards, TOP 02:42"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"RMU - Shine,Ethan 14 yd run (Jenkins,Jayson kick), 9 plays, 50 yards, TOP 05:48"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,"MER - Lewis,Camden 7 yd pass from Urena,Adam (Young,Max kick) 6 plays, 87 yards, TOP 03:34"
11,11/15/2025,"Erie, Pennsylvania",Saxon Stadium,857,12:04 PM,03:07 PM,03:03,51,,Cloudy,Match History vs Robert Morris,
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"CCS - Howard,Elijah 22 yd run (Hennessey,Jack kick), 1 plays, 22 yards, TOP 00:08"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"MER - Evans,Dylan 5 yd run (Young,Max kick), 1 plays, 5 yards, TOP 00:05"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"MER - Trobel,Brian 2 yd run (Young,Max kick), 7 plays, 66 yards, TOP 04:44"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"CCS - Howard,Elijah 4 yd run (Hennessey,Jack kick), 8 plays, 72 yards, TOP 03:16"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"MER - Trobel,Brian 63 yd run (Young,Max kick), 3 plays, 81 yards, TOP 00:50"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"CCS - Trovarelli,Michael 15 yd pass from Olson,Brady (Hennessey,Jack kick) 14 plays, 78 yards, TOP 05:31"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"CCS - Marcus,Donny 17 yd pass from Olson,Brady (Hennessey,Jack kick) 8 plays, 75 yards, TOP 03:43"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"MER - Wright-Rawls,Taylor 11 yd pass from Urena,Adam (Young,Max kick) 8 plays, 69 yards, TOP 04:37"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,"CCS - Howard,Elijah 8 yd pass from Olson,Brady (Hennessey,Jack kick) 6 plays, 12 yards, TOP 02:46"
12,11/22/2025,"New Britain, Connecticut",Arute Field,2015,12:00 PM,03:06 PM,03:05,45,NW 7mph,Sunny,Match History vs Central Conn. St.,
